series_id,slug_title,title
GYWE4X28Y,07-ghost,"""07 Ghost"""
GYE5X75GR,11eyes,"""11eyes"""
G8DHV7854,16bit-sensation-another-layer,"""16bit Sensation: Another Layer"""
GR4949ZQ6,18if,"""18if"""
G1XHJVEZ1,243-seiin-high-school-boys-volleyball-team,"""2.43: Seiin High School Boys Volleyball Team"""
G6P545WQ6,227-nanabun-no-nijyuuni,"""22/7 (nanabun no nijyuuni)"""
GVDHX8DM5,86-eighty-six,"""86 EIGHTY-SIX"""
GRE5K3NQ6,91-days,"""91 Days"""
G64G29DER,dogezai-tried-asking-while-kowtowing,"""<DOGEZA>I Tried Asking While Kowtowing."""
GRX0JQ4K6,a-bridge-to-the-starry-skies---hoshizora-e-kakaru-hashi,"""A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi"""
GYNQZV50Y,a-centaurs-life,"""A Centaur's Life"""
GRVNZK5PY,a-certain-magical-index,"""A Certain Magical Index"""
GY5PDD4PY,a-certain-scientific-accelerator,"""A Certain Scientific Accelerator"""
G649J4XPY,a-certain-scientific-railgun,"""A Certain Scientific Railgun"""
GXJHM39MP,a-couple-of-cuckoos,"""A Couple of Cuckoos"""
GY2P5KQEY,a-dark-rabbit-has-seven-lives,"""A Dark Rabbit has Seven Lives"""
G679XXM0Y,a-destructive-god-sits-next-to-me,"""A Destructive God Sits Next to Me"""
GXJHM3PZW,a-galaxy-next-door,"""A Galaxy Next Door"""
GW4HM7W7Q,a-girl--her-guard-dog,"""A Girl & Her Guard Dog"""
G1XHJV2NJ,a-herbivorous-dragon-of-5000-years-gets-unfairly-villainized,"""A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized"""
GR49M7GP6,a-lull-in-the-sea-nagi-asu-nagi-no-asukara,"""A Lull in the Sea (Nagi-Asu: Nagi no Asukara)"""
GYK541EPR,a-place-further-than-the-universe,"""A Place Further Than the Universe"""
GMEHME70J,a-playthrough-of-a-certain-dudes-vrmmo-life,"""A Playthrough of a Certain Dude's VRMMO Life"""
GEXH3W207,a-returners-magic-should-be-special,"""A Returner's Magic Should Be Special"""
GR9P90X16,a-sisters-all-you-need,"""A Sister's All You Need."""
GY1XXXPQY,a-talk-on-titan,"""A Talk on Titan"""
GYG5NDJDY,a-wind-named-amnesia,"""A Wind Named Amnesia"""
GJ0H7Q8XX,a3,"""A3!"""
GW4HM74KJ,abciee-working-diary,"""ABCiee Working Diary"""
G619098KY,absolute-duo,"""Absolute Duo"""
GR5V95N8R,acca-13-territory-inspection-dept,"""ACCA: 13-Territory Inspection Dept."""
GRZJEQ3V6,accel-world,"""Accel World"""
GYE5K0XVR,ace-attorney,"""Ace Attorney"""
GYX0MZ58R,ace-of-the-diamond,"""Ace of the Diamond"""
GYGG9PV7Y,active-raid,"""Active Raid"""
GW4HM75MZ,actors-songs-connection,"""Actors: Songs Connection"""
G79H23V84,adachi-and-shimamura,"""Adachi and Shimamura"""
GRP8ZQP1R,aesthetica-of-a-rogue-hero,"""Aesthetica of a Rogue Hero"""
GDKHZEP9V,africa-salaryman,"""Africa Salaryman"""
G5PHNMW59,afro-samurai,"""Afro Samurai"""
GP5HJ81N9,after-school-dice-club,"""After School Dice Club"""
GVDHX85GV,after-school-hanako-kun,"""After-school Hanako-kun"""
G0XHWM5XQ,afterlost,"""AFTERLOST"""
G6DQNPE1R,ah-my-buddha,"""Ah My Buddha!!"""
G1XHJVWP0,ah-my-goddess-flights-of-fancy,"""Ah! My Goddess: Flights of Fancy"""
GNVHKN72N,aharen-san-wa-hakarenai,"""Aharen-san wa Hakarenai"""
G6NVGNJGY,ahiru-no-sora,"""Ahiru no Sora"""
GRMGZG27R,aho-girl,"""AHO-GIRL"""
GVDHX8JWG,ai-tenchi-muyo,"""Ai Tenchi Muyo!"""
GYP85K3KY,ai-mai-mi,"""Ai-Mai-Mi"""
GRP8DZ7GR,ai-mai-mi-mousou-catastrophe,"""Ai-Mai-Mi Mousou Catastrophe"""
GR2P0GJKR,ai-mai-mi-surgical-friends,"""Ai-Mai-Mi Surgical Friends"""
G9VHN91JV,air-gear,"""Air Gear"""
G6X0427EY,air-master,"""Air Master"""
GYNQJQG3Y,aiura,"""AIURA"""
GRZX45ZVY,akagi,"""Akagi"""
G6190VXEY,akagi-drama,"""Akagi (Drama)"""
GYDQ8WZ16,akashic-records-of-bastard-magic-instructor,"""Akashic Records of Bastard Magic Instructor"""
GDKHZEW97,akebis-sailor-uniform,"""Akebi's Sailor Uniform"""
GRWEKW7NR,akibas-trip-the-animation,"""Akiba's Trip The Animation"""
GRQWJWPGR,akira,"""Akira"""
GKEH2G440,akudama-drive,"""Akudama Drive"""
GY8VJW08Y,alderamin-on-the-sky,"""Alderamin on the Sky"""
GRP8DNZ1R,aldnoahzero,"""ALDNOAH.ZERO"""
GYNQ5N80Y,alice--zoroku,"""Alice & Zoroku"""
GR8VJVX7R,all-out,"""ALL OUT!!"""
G0XHWM5N2,all-saints-street,"""All Saints Street"""
G9VHN9QED,am-i-actually-the-strongest,"""Am I Actually the Strongest?"""
GJ0H7QXE2,amaim-warrior-at-the-borderline,"""AMAIM Warrior at the Borderline"""
GYZXDEXX6,amanchu,"""Amanchu!"""
G6J0MD1ER,amazing-stranger,"""AMAZING STRANGER"""
GKEH2GQKX,ancient-girls-frame,"""Ancient Girl's Frame"""
GRWE8K5MR,and-you-thought-there-is-never-a-girl-online,"""And you thought there is never a girl online?"""
GYNQXWNWY,ange-vierge,"""Ange Vierge"""
GY49PW7QR,angel-beats,"""Angel Beats"""
G24H1NWNJ,angel-cop,"""Angel Cop"""
G6X03VD2Y,angel-heart,"""Angel Heart"""
G6VN8D53R,angels-3piece,"""Angel's 3Piece!"""
GRVDN485R,angels-of-death,"""Angels of Death"""
G6J0QJ32R,angolmois-record-of-mongol-invasion,"""Angolmois: Record of Mongol Invasion"""
G6EXH7VKM,anifile,"""Anifile"""
GRDKVQ53Y,anima-yell,"""Anima Yell!"""
GR19JEWQ6,anime-academy,"""Anime Academy"""
GQWH0MXPQ,anime-azurlane-slow-ahead,"""Anime AzurLane: Slow Ahead!"""
GREX5KEXY,anime-crimes-division,"""Anime Crimes Division"""
GRE5KZQN6,anime-de-training-ex,"""Anime De Training! Ex"""
GRZ43X7DY,anime-kapibarasan,"""Anime KAPIBARASAN"""
GR24X90E6,anime-recap,"""Anime Recap"""
G65VGQJ86,anime-gataris,"""Anime-Gataris"""
GR19MD406,anisong-station,"""Anisong Station"""
GYWE2J9JY,anne-happy,"""Anne-Happy"""
GR19X2G26,anohana-the-flower-we-saw-that-day,"""Anohana: The Flower We Saw That Day"""
GR09X52WR,another,"""Another"""
GRZXDKNVY,anti-magic-academy-the-35th-test-platoon,"""Anti-Magic Academy: The 35th Test Platoon"""
GY3K9XM9Y,ao-chan-cant-study,"""Ao-chan Can't Study!"""
G4PH0WX5J,aoashi,"""Aoashi"""
GY49PZ78R,aoi-sekai-no-chushin-de,"""Aoi Sekai no Chushin de"""
GYMGPXKVY,aokana-four-rhythm-across-the-blue,"""AOKANA: Four Rhythm Across the Blue"""
GRZXQJK3Y,aooni-the-blue-monster,"""Aooni The Blue Monster"""
G5PHNMW9N,appare-ranman,"""APPARE-RANMAN!"""
GRP8PGDWR,arakawa-under-the-bridge,"""Arakawa Under the Bridge"""
GRE5M1X06,arata-the-legend,"""Arata the Legend"""
G69VE9W4Y,are-you-lost,"""Are You Lost?"""
GR2P9ZQ2R,aria-the-animation,"""ARIA The ANIMATION"""
GYZXZ5PM6,aria-the-scarlet-ammo,"""Aria the Scarlet Ammo"""
G4PH0WXD1,arifureta-from-commonplace-to-worlds-strongest,"""Arifureta: From Commonplace to World's Strongest"""
GG5H5X3VN,arknights,"""Arknights"""
GZJH3DWPV,armor-shop-for-ladies--gentlemen,"""Armor Shop for Ladies & Gentlemen"""
GRQWDD29R,arp-backstage-pass,"""ARP Backstage Pass"""
GR9PXZ3J6,arpeggio-of-blue-steel,"""Arpeggio of Blue Steel"""
GDKHZEDPM,arte,"""Arte"""
GRJ0K0ZDY,as-miss-beelzebub-likes-it,"""As Miss Beelzebub Likes it."""
GEXH3W4VJ,as-the-gods-will,"""As the Gods Will"""
G6793XKZY,ascendance-of-a-bookworm,"""Ascendance of a Bookworm"""
G6MEG24VR,asobi-asobase---workshop-of-fun--,"""Asobi Asobase - workshop of fun -"""
GRE59JGX6,assassination-classroom,"""Assassination Classroom"""
G60X4P8GR,assassins-pride,"""ASSASSINS PRIDE"""
GEXH3WK20,assault-lily-bouquet,"""Assault Lily BOUQUET"""
G6NQV5WQ6,astarottes-toy,"""Astarotte's Toy"""
GRMEJX3VY,asteroid-in-love,"""Asteroid in Love"""
GMEHMEWZM,astra-lost-in-space,"""ASTRA LOST IN SPACE"""
GEXH3W2Z5,atelier-ryza-ever-darkness--the-secret-hideout-the-animation,"""Atelier Ryza: Ever Darkness & the Secret Hideout The Animation"""
GR751KNZY,attack-on-titan,"""Attack on Titan"""
GVDHX8P8Q,attack-on-titan-movies,"""Attack on Titan Movies"""
GR758GE5Y,attack-on-titan-junior-high,"""Attack on Titan: Junior High"""
G79H235XP,aware-meisaku-kun,"""Aware! Meisaku-kun"""
GXJHM3GQ7,ayaka,"""AYAKA"""
GZJH3D0X5,ayakashi-triangle,"""Ayakashi Triangle"""
G9VHN9P49,azur-lane,"""AZUR LANE"""
GRGGPG53R,b-project,"""B-PROJECT"""
G24H1N3J4,back-arrow,"""BACK ARROW"""
GXJHM3NEV,backflip,"""Backflip!!"""
GR49X07J6,baka--test---summon-the-beasts--,"""Baka & Test - Summon the Beasts -"""
G69PXP1EY,bakemonogatari,"""Bakemonogatari"""
G6J0KWNDR,bakumatsu,"""BAKUMATSU"""
G3KHEVQ44,bamboo-blade,"""Bamboo Blade"""
GY2PW4EMY,bananya,"""Bananya"""
G0XHWM1NV,bang-dream-its-mygo,"""BanG Dream! It's MyGO!!!!!"""
GW4HM7G1X,bang-dream-movies,"""BanG Dream! Movies"""
G9VHN974E,banished-from-the-heros-party-i-decided-to-live-a-quiet-life-in-the-countryside,"""Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside"""
G6NQK7Z36,banpresto-world-figure-colosseum,"""Banpresto World Figure Colosseum"""
GYMGD89VY,barakamon,"""Barakamon"""
GZJH3D0J2,bartender,"""Bartender"""
G65V1GV06,basilisk,"""Basilisk"""
G6NQ9PX36,basilisk--the-ouka-ninja-scrolls,"""Basilisk : The Ouka Ninja Scrolls"""
G9VHN9Q2D,bastions,"""BASTIONS"""
GNVHKNGMQ,battle-athletes-victory-restart,"""Battle Athletes Victory ReSTART!"""
G8DHV7DG7,battle-game-in-5-seconds,"""Battle Game in 5 Seconds"""
GYVNDJDD6,battle-girls---time-paradox,"""Battle Girls - Time Paradox"""
GRVNE09QY,bbkbrnk,"""BBK/BRNK"""
G8DHV743V,beast-tamer,"""Beast Tamer"""
G6GG5KQ86,beelzebub,"""Beelzebub"""
GXJHM3PVQ,bem,"""BEM"""
GYX04955R,berserk,"""Berserk"""
G1XHJV05V,berserk-of-gluttony,"""Berserk of Gluttony"""
G24H1N8XX,berserk-the-golden-age-arc---memorial-edition,"""Berserk: The Golden Age Arc - Memorial Edition"""
GR8DM280R,between-the-sky-and-sea,"""Between the Sky and Sea"""
GRDQNE7GY,beyblade-metal-fusion,"""Beyblade: Metal Fusion"""
GQWH0MP82,big-fish--begonia,"""Big Fish & Begonia"""
G6VNEV0QR,big-order,"""BIG ORDER"""
